formula,mu_b,samples,sources,dxmag_type,n_elements
AlCd2W,0.71372815,10,dxmag,full,3.0
AlCd3,0.0,2,dxmag,full,2.0
AlCdAg,0.0,3,dxmag,half,3.0
AlCdAg2,0.0,3,dxmag,inverse,3.0
AlCdAu,0.0,5,dxmag,half,3.0
AlCdAu2,0.0,4,dxmag,inverse,3.0
AlCdCo,0.452682075,6,dxmag,half,3.0
AlCdCo2,2.5671602,5,dxmag,inverse,3.0
AlCdCu,0.0,6,dxmag,half,3.0
AlCdCu2,0.0,6,dxmag,full,3.0
AlCdFe,1.83772905,9,dxmag,half,3.0
AlCdFe2,4.5016526,11,dxmag,inverse,3.0
AlCdIr,0.0,6,dxmag,half,3.0
AlCdIr2,0.0,5,dxmag,inverse,3.0
AlCdMo,1.9282719,9,dxmag,half,3.0
AlCdMo2,0.0,3,dxmag,full,3.0
AlCdNi,0.0,6,dxmag,half,3.0
AlCdNi2,0.0,6,dxmag,full,3.0
AlCdOs,0.0,8,dxmag,half,3.0
AlCdOs2,2.5e-08,6,dxmag,inverse,3.0
AlCdPd,0.0,3,dxmag,half,3.0
AlCdPd2,0.0,3,dxmag,inverse,3.0
AlCdPt,0.0,5,dxmag,half,3.0
AlCdPt2,0.0,6,dxmag,full,3.0
AlCdRe,1.502230925,8,dxmag,half,3.0
AlCdRe2,0.0,5,dxmag,full,3.0
AlCdRh,0.0,5,dxmag,half,3.0
AlCdRh2,0.1664258,5,dxmag,inverse,3.0
AlCdRu,0.0,6,dxmag,half,3.0
AlCdRu2,0.9313776250000001,12,dxmag,inverse,3.0
AlCdW,1.6399091000000001,10,dxmag,half,3.0
AlCdW2,0.0,5,dxmag,full,3.0
AlCo2,2.4361787,3,dxmag,half,2.0
AlCo2Ag,2.55024385,8,dxmag,full,3.0
AlCo2Au,2.38007145,8,dxmag,full,3.0
AlCo2Cu,2.340263325,8,dxmag,full,3.0
AlCo2Ir,3.180648,9,dxmag,inverse,3.0
AlCo2Mo,0.874617,8,dxmag,inverse,3.0
AlCo2Ni,2.65068035,8,dxmag,inverse,3.0
AlCo2Os,1.00180855,11,dxmag,inverse,3.0
AlCo2Pd,2.87841785,7,dxmag,full,3.0
AlCo2Pt,2.8473849,9,dxmag,inverse,3.0
AlCo2Re,0.1142602,9,dxmag,full,3.0
AlCo2Rh,3.359904375,6,dxmag,full,3.0
AlCo2Ru,2.389011225,12,dxmag,inverse,3.0
AlCo2W,0.8164781,11,dxmag,inverse,3.0
AlCo3,4.0111683,5,dxmag,full,2.0
AlCoAg,0.0,3,dxmag,half,3.0
AlCoAg2,0.9945643,9,dxmag,inverse,3.0
AlCoAu,1.1473975,7,dxmag,half,3.0
AlCoAu2,1.0724029,12,dxmag,inverse,3.0
AlCoCu,0.0,3,dxmag,half,3.0
AlCoCu2,0.4509478,11,dxmag,full,3.0
AlCoIr,2.017046425,4,dxmag,half,3.0
AlCoIr2,0.52131695,10,dxmag,inverse,3.0
AlCoMo,0.0,3,dxmag,half,3.0
AlCoMo2,0.0,4,dxmag,full,3.0
AlCoNi,0.8624419,4,dxmag,half,3.0
AlCoNi2,1.63146505,8,dxmag,full,3.0
AlCoOs,0.0014059,5,dxmag,half,3.0
AlCoOs2,0.7611495749999999,6,dxmag,inverse,3.0
AlCoPd,1.05289145,8,dxmag,half,3.0
AlCoPd2,1.6412082,8,dxmag,inverse,3.0
AlCoPt,1.74238885,5,dxmag,half,3.0
AlCoPt2,1.7789925,10,dxmag,inverse,3.0
AlCoRe,0.07792724999999999,8,dxmag,half,3.0
AlCoRe2,0.3396711,7,dxmag,full,3.0
AlCoRh,1.8493765,6,dxmag,half,3.0
AlCoRh2,2.754877475,6,dxmag,inverse,3.0
AlCoRu,1.94736485,5,dxmag,half,3.0
AlCoRu2,0.9040299,11,dxmag,full,3.0
AlCoW,0.0,4,dxmag,half,3.0
AlCoW2,0.0,4,dxmag,full,3.0
AlCr2,0.473161425,4,dxmag,half,2.0
AlCr2Ag,0.5196952749999999,8,dxmag,inverse,3.0
AlCr2Au,0.032766449999999996,8,dxmag,inverse,3.0
AlCr2Cd,0.2347294,9,dxmag,inverse,3.0
AlCr2Co,0.00063515,7,dxmag,inverse,3.0
AlCr2Cu,0.9021621,12,dxmag,full,3.0
AlCr2Fe,2.1841019,14,dxmag,full,3.0
AlCr2Ir,0.000359,11,dxmag,full,3.0
AlCr2Mo,1.44630925,8,dxmag,inverse,3.0
AlCr2Ni,4.735e-05,13,dxmag,full,3.0
AlCr2Os,0.47460654999999996,8,dxmag,full,3.0
AlCr2Pd,0.925880225,6,dxmag,full,3.0
AlCr2Pt,1.25416455,8,dxmag,inverse,3.0
AlCr2Re,1.777857,7,dxmag,full,3.0
AlCr2Rh,1.0999999999999998e-06,6,dxmag,full,3.0
AlCr2Ru,0.9828576,7,dxmag,full,3.0
AlCr2W,0.2643184,12,dxmag,inverse,3.0
AlCr3,0.34524595,5,dxmag,full,2.0
AlCrAg,3.737239,9,dxmag,half,3.0
AlCrAg2,3.773095175,6,dxmag,inverse,3.0
AlCrAu,3.40760275,7,dxmag,half,3.0
AlCrAu2,3.6987078,7,dxmag,inverse,3.0
AlCrCd,3.4565938249999997,8,dxmag,half,3.0
AlCrCd2,3.7613063,7,dxmag,full,3.0
AlCrCo,0.0,3,dxmag,half,3.0
AlCrCo2,1.2289696,10,dxmag,inverse,3.0
AlCrCu,3.20034325,7,dxmag,half,3.0
AlCrCu2,2.9795704,7,dxmag,inverse,3.0
AlCrFe,0.5,6,dxmag,half,3.0
AlCrFe2,0.592551675,10,dxmag,full,3.0
AlCrIr,0.0,3,dxmag,half,3.0
AlCrIr2,0.33287880000000003,10,dxmag,inverse,3.0
AlCrMo,0.0,3,dxmag,half,3.0
AlCrMo2,0.000653825,6,dxmag,inverse,3.0
AlCrNi,2.9977115,9,dxmag,half,3.0
AlCrNi2,3.06283825,11,dxmag,inverse,3.0
AlCrOs,0.403154425,8,dxmag,half,3.0
AlCrOs2,4.2e-06,5,dxmag,full,3.0
AlCrPd,3.511598225,6,dxmag,half,3.0
AlCrPd2,3.65951575,9,dxmag,inverse,3.0
AlCrPt,1.00319045,7,dxmag,half,3.0
AlCrPt2,3.262927425,12,dxmag,inverse,3.0
AlCrRe,2.55e-06,3,dxmag,half,3.0
AlCrRe2,0.0007883499999999999,6,dxmag,inverse,3.0
